AwardId,AwardName,Winner
1,Best Craftsmanship - Lion Den,100
2,Best Craftsmanship - Tiger Den,200
3,Best Craftsmanship - Wolf Den,300
4,Best Craftsmanship - Bear Den,400
5,Best Craftsmanship - Webelo I,500
6,Best Craftsmanship - Webelo II,600
7,Best Craftsmanship - Siblings,700
